transactionid,customerid,transactionamount ,paymentmethod ,quantity,transaction_date,last_update
1,934,202,Debit card,23,1/24/2020,1/24/2020
2,108,425,Paypal,16,4/26/2022,4/26/2022
3,401,314,Credit card,11,8/27/2020,8/27/2020
4,514,316,Credit card,38,1/19/2021,1/19/2021
5,338,461,Credit card,25,12/16/2019,12/16/2019
6,16,472,Paypal,47,1/25/2020,1/25/2020
7,385,441,Paypal,39,4/29/2020,4/29/2020
8,402,284,Paypal,25,3/9/2021,3/9/2021
9,714,212,Paypal,17,11/6/2019,11/6/2019
10,495,345,Paypal,34,7/14/2020,7/14/2020
11,973,420,Paypal,21,12/30/2021,12/30/2021
12,952,355,Paypal,21,2/10/2021,2/10/2021
13,937,234,Paypal,14,8/21/2019,8/21/2019
14,620,450,Paypal,49,9/27/2019,9/27/2019
15,316,272,Paypal,8,9/24/2019,9/24/2019
16,481,323,Paypal,18,12/30/2019,12/30/2019
17,308,275,Debit card,24,1/18/2020,1/18/2020
18,647,360,Debit card,33,7/21/2021,7/21/2021
19,993,335,Debit card,5,5/23/2021,5/23/2021
20,968,256,Debit card,14,12/12/2021,12/12/2021
21,39,409,Debit card,3,7/29/2019,7/29/2019
22,225,465,Debit card,20,5/25/2021,5/25/2021
23,427,345,Debit card,47,6/14/2020,6/14/2020
24,705,266,Debit card,27,6/17/2020,6/17/2020
25,990,366,Debit card,1,11/14/2021,11/14/2021
26,142,308,Debit card,42,6/4/2021,6/4/2021
27,189,353,Debit card,47,8/22/2021,8/22/2021
28,414,483,Debit card,35,9/30/2020,9/30/2020
29,225,244,Debit card,13,3/5/2020,3/5/2020
30,658,456,Credit card,34,9/28/2020,9/28/2020
31,596,267,Credit card,9,7/1/2020,7/1/2020
32,23,395,Credit card,19,10/18/2020,10/18/2020
33,740,330,Credit card,49,10/24/2021,10/24/2021
34,790,480,Paypal,9,7/2/2019,7/2/2019
35,104,484,Paypal,4,8/24/2020,8/24/2020
36,672,336,Paypal,19,10/29/2021,10/29/2021
37,163,415,Paypal,8,9/16/2019,9/16/2019
38,743,451,Paypal,50,5/8/2021,5/8/2021
39,786,428,Paypal,28,10/12/2021,10/12/2021
40,195,229,Credit card,34,6/15/2020,6/15/2020
41,238,288,Credit card,11,12/4/2021,12/4/2021
42,36,337,Credit card,45,10/19/2019,10/19/2019
43,816,395,Credit card,44,3/14/2022,3/14/2022
44,165,458,Credit card,45,10/27/2021,10/27/2021
45,702,360,Credit card,37,11/2/2020,11/2/2020
46,74,334,Credit card,44,11/15/2020,11/15/2020
47,126,326,Credit card,21,2/18/2021,2/18/2021
48,544,216,Paypal,35,4/8/2020,4/8/2020
49,553,452,Paypal,14,10/24/2021,10/24/2021
50,727,496,Paypal,50,9/29/2020,9/29/2020
51,734,325,Paypal,19,2/21/2022,2/21/2022
52,102,242,Paypal,12,12/27/2021,12/27/2021
53,223,305,Paypal,2,7/20/2019,7/20/2019
54,553,246,Credit card,50,3/20/2021,3/20/2021
55,948,224,Credit card,46,6/14/2021,6/14/2021
56,955,313,Credit card,21,9/25/2021,9/25/2021
57,938,259,Credit card,13,2/19/2020,2/19/2020
